CRIM,NOX,AGE
0.00632,0.538,65.2
0.02731,0.469,78.9
0.02729,0.469,61.1
0.03237,0.458,45.8
0.06905,0.458,54.2
0.02985,0.458,58.7
0.08829,0.524,66.6
0.14455,0.524,96.1
0.21124,0.524,100.0
0.17004,0.524,85.9
0.22489,0.524,94.3
0.11747,0.524,82.9
0.09378,0.524,39.0
0.62976,0.538,61.8
0.63796,0.538,84.5
0.62739,0.538,56.5
1.05393,0.538,29.3
0.7842,0.538,81.7
0.80271,0.538,36.6
0.7258,0.538,69.5
1.25179,0.538,98.1
0.85204,0.538,89.2
1.23247,0.538,91.7
0.98843,0.538,100.0
0.75026,0.538,94.1
0.84054,0.538,85.7
0.67191,0.538,90.3
0.95577,0.538,88.8
0.77299,0.538,94.4
1.00245,0.538,87.3
1.13081,0.538,94.1
1.35472,0.538,100.0
1.38799,0.538,82.0
1.15172,0.538,95.0
1.61282,0.538,96.9
0.06417,0.499,68.2
0.09744,0.499,61.4
0.08014,0.499,41.5
0.17505,0.499,30.2
0.02763,0.428,21.8
0.03359,0.428,15.8
0.12744,0.448,2.9
0.1415,0.448,6.6
0.15936,0.448,6.5
0.12269,0.448,40.0
0.17142,0.448,33.8
0.18836,0.448,33.3
0.22927,0.448,85.5
0.25387,0.448,95.3
0.21977,0.448,62.0
0.08873,0.439,45.7
0.04337,0.439,63.0
0.0536,0.439,21.1
,0.439,21.4
0.0136,0.41,47.6
0.01311,0.403,21.9
0.02055,0.41,35.7
0.01432,0.411,40.5
0.15445,0.453,29.2
0.10328,0.453,47.2
0.14932,0.453,66.2
0.17171,0.453,93.4
0.11027,0.453,67.8
0.1265,0.453,43.4
0.01951,0.4161,59.5
0.03584,0.398,17.8
0.04379,0.398,31.1
0.05789,0.409,21.4
0.13554,0.409,36.8
0.12816,0.409,33.0
0.08826,0.413,6.6
0.15876,0.413,17.5
0.09164,0.413,7.8
0.19539,0.413,6.2
0.07896,0.437,
0.09512,0.437,45.0
0.10153,0.437,74.5
0.08707,0.437,45.8
0.05646,0.437,53.7
0.08387,0.437,36.6
0.04113,0.426,33.5
0.04462,0.426,70.4
0.03659,0.426,32.2
0.03551,0.426,46.7
0.05059,0.449,48.0
0.05735,0.449,56.1
0.05188,0.449,45.1
0.07151,0.449,56.8
0.0566,0.489,86.3
0.05302,0.489,63.1
0.04684,0.489,66.1
0.03932,0.489,73.9
0.04203,0.464,53.6
0.02875,0.464,28.9
0.04294,0.464,77.3
0.12204,0.445,57.8
0.11504,0.445,69.6
0.12083,0.445,76.0
0.08187,0.445,36.9
0.0686,0.445,62.5
0.14866,0.52,79.9
0.11432,0.52,71.3
0.22876,0.52,85.4
0.21161,0.52,
0.1396,0.52,90.0
0.13262,0.52,96.7
0.1712,0.52,91.9
0.13117,0.52,85.2
0.12802,0.52,97.1
0.26363,0.52,91.2
0.10793,0.52,54.4
0.10084,0.547,81.6
0.12329,0.547,92.9
0.22212,0.547,95.4
0.14231,0.547,84.2
,0.547,88.2
0.13158,0.547,72.5
0.15098,0.547,82.6
0.13058,0.547,73.1
0.14476,0.547,65.2
0.06899,0.581,69.7
0.07165,0.581,84.1
0.09299,0.581,92.9
0.15038,0.581,97.0
0.09849,0.581,95.8
0.16902,0.581,88.4
0.38735,0.581,
0.25915,0.624,96.0
0.32543,0.624,98.8
0.88125,0.624,94.7
0.34006,0.624,98.9
1.19294,0.624,97.7
0.59005,0.624,97.9
0.32982,0.624,95.4
0.97617,0.624,98.4
0.55778,0.624,98.2
0.32264,0.624,93.5
0.35233,0.624,98.4
0.2498,0.624,
0.54452,0.624,97.9
0.2909,0.624,93.6
1.62864,0.624,100.0
3.32105,0.871,100.0
4.0974,0.871,100.0
2.77974,0.871,97.8
2.37934,0.871,100.0
2.15505,0.871,100.0
2.36862,0.871,95.7
2.33099,0.871,93.8
2.73397,0.871,94.9
1.6566,0.871,
1.49632,0.871,100.0
1.12658,0.871,88.0
2.14918,0.871,98.5
1.41385,0.871,96.0
3.53501,0.871,
2.44668,0.871,94.0
1.22358,0.605,97.4
1.34284,0.605,100.0
1.42502,0.871,100.0
1.27346,0.605,92.6
1.46336,0.605,90.8
1.83377,0.605,98.2
1.51902,0.605,
2.24236,0.605,91.8
2.924,0.605,93.0
2.01019,0.605,96.2
1.80028,0.605,79.2
2.3004,0.605,96.1
2.44953,0.605,95.2
1.20742,0.605,94.6
2.3139,0.605,97.3
0.13914,0.51,88.5
0.09178,0.51,
0.08447,0.51,68.7
0.06664,0.51,33.1
0.07022,0.51,47.2
0.05425,0.51,73.4
0.06642,0.51,74.4
0.0578,0.488,58.4
0.06588,0.488,83.3
0.06888,0.488,62.2
0.09103,0.488,92.2
,0.488,95.6
0.08308,0.488,89.8
0.06047,0.488,68.8
0.05602,0.488,53.6
0.07875,0.437,41.1
0.12579,0.437,29.1
0.0837,0.437,38.9
0.09068,0.437,21.5
,0.437,30.8
,0.437,26.3
0.02187,0.401,
0.01439,0.401,18.8
0.01381,0.422,32.0
,0.404,34.1
0.04666,0.404,36.6
0.03768,0.404,38.3
0.0315,0.403,15.3
0.01778,0.403,13.9
0.03445,0.415,38.4
0.02177,0.415,15.7
0.0351,0.4161,33.2
0.02009,0.4161,31.9
0.13642,0.489,22.3
0.22969,0.489,52.5
0.25199,0.489,72.7
0.13587,0.489,59.1
0.43571,0.489,100.0
0.17446,0.489,92.1
0.37578,0.489,88.6
0.21719,0.489,53.8
0.14052,0.489,32.3
0.28955,0.489,9.8
0.19802,0.489,
0.0456,0.55,56.0
0.07013,0.55,85.1
0.11069,0.55,93.8
0.11425,0.55,92.4
0.35809,0.507,88.5
0.40771,0.507,91.3
0.62356,0.507,77.7
0.6147,0.507,80.8
0.31533,0.504,78.3
0.52693,0.504,83.0
0.38214,0.504,86.5
0.41238,0.504,79.9
0.29819,0.504,17.0
,0.504,21.4
0.537,0.504,68.1
0.46296,0.504,76.9
0.57529,0.507,73.3
0.33147,0.507,
0.44791,0.507,66.5
0.33045,0.507,61.5
,0.507,76.5
0.51183,0.507,71.6
0.08244,0.428,18.5
0.09252,0.428,42.2
0.11329,0.428,54.3
,0.428,65.1
0.1029,0.428,52.9
0.12757,0.428,7.8
0.20608,0.431,76.5
0.19133,0.431,70.2
0.33983,0.431,34.9
0.19657,0.431,79.2
0.16439,0.431,49.1
0.19073,0.431,17.5
0.1403,0.431,13.0
0.21409,0.431,8.9
0.08221,0.431,6.8
0.36894,0.431,8.4
0.04819,0.392,32.0
0.03548,0.392,19.1
0.01538,0.394,34.2
0.61154,0.647,86.9
0.66351,0.647,100.0
0.65665,0.647,100.0
0.54011,0.647,81.8
0.53412,0.647,89.4
,0.647,91.5
0.82526,0.647,94.5
0.55007,0.647,91.6
0.76162,0.647,62.8
0.7857,0.647,84.6
0.57834,0.575,67.0
0.5405,0.575,52.6
0.09065,0.464,61.5
0.29916,0.464,42.1
0.16211,0.464,16.3
0.1146,0.464,58.7
0.22188,0.464,51.8
0.05644,0.447,32.9
0.09604,0.447,42.8
0.10469,0.447,49.0
0.06127,0.447,27.6
0.07978,0.447,32.1
0.21038,0.4429,32.2
0.03578,0.4429,64.5
0.03705,0.4429,
0.06129,0.4429,49.7
0.01501,0.401,24.8
0.00906,0.4,20.8
0.01096,0.389,31.9
0.01965,0.385,
0.03871,0.405,31.3
,0.405,45.6
0.04297,0.405,22.9
0.03502,0.411,27.9
0.07886,0.411,27.7
0.03615,0.411,23.4
0.08265,0.437,18.4
0.08199,0.437,42.3
0.12932,0.437,31.1
0.05372,0.437,51.0
0.14103,0.437,58.0
0.06466,0.4,20.1
0.05561,0.4,10.0
0.04417,0.4,47.4
0.03537,0.433,40.4
,0.433,18.4
0.1,0.433,17.7
0.05515,0.472,41.1
0.05479,0.472,58.1
0.07503,0.472,71.9
0.04932,0.472,70.3
0.49298,0.544,82.5
0.3494,0.544,76.7
2.63548,0.544,37.8
0.79041,0.544,52.8
0.26169,0.544,90.4
0.26938,0.544,82.8
0.3692,0.544,87.3
0.25356,0.544,77.7
0.31827,0.544,
0.24522,0.544,71.7
0.40202,0.544,67.2
0.47547,0.544,58.8
0.1676,0.493,52.3
0.18159,0.493,54.3
0.35114,0.493,49.9
0.28392,0.493,74.3
0.34109,0.493,40.1
0.19186,0.493,14.7
0.30347,0.493,28.9
0.24103,0.493,43.7
0.06617,0.46,25.8
0.06724,0.46,17.2
0.04544,0.46,32.2
0.05023,0.4379,28.4
0.03466,0.4379,23.3
0.05083,0.515,38.1
0.03738,0.515,38.5
0.03961,0.515,34.5
0.03427,0.515,46.3
0.03041,0.515,59.6
0.03306,0.515,37.3
0.05497,0.515,45.4
0.06151,0.515,58.5
0.01301,0.442,49.3
0.02498,0.518,59.7
0.02543,0.484,56.4
0.03049,0.484,28.1
0.03113,0.442,48.5
0.06162,0.442,52.3
0.0187,0.429,27.7
0.01501,0.435,29.7
0.02899,0.429,34.5
0.06211,0.429,44.4
0.0795,0.411,35.9
0.07244,0.411,18.5
0.01709,0.41,36.1
0.04301,0.413,21.9
0.10659,0.413,
8.98296,0.77,97.4
3.8497,0.77,91.0
5.20177,0.77,83.4
4.26131,0.77,81.3
4.54192,0.77,88.0
3.83684,0.77,91.1
3.67822,0.77,96.2
4.22239,0.77,89.0
3.47428,0.718,82.9
4.55587,0.718,87.9
3.69695,0.718,91.4
13.5222,0.631,100.0
4.89822,0.631,
,0.631,96.8
6.53876,0.631,97.5
9.2323,0.631,100.0
8.26725,0.668,89.6
11.1081,0.668,100.0
18.4982,0.668,100.0
19.6091,0.671,97.9
15.288,0.671,93.3
9.82349,0.671,98.8
23.6482,0.671,96.2
17.8667,0.671,100.0
88.9762,0.671,91.9
15.8744,0.671,99.1
9.18702,0.7,100.0
7.99248,0.7,100.0
20.0849,0.7,91.2
16.8118,0.7,98.1
24.3938,0.7,100.0
22.5971,0.7,89.5
14.3337,0.7,100.0
8.15174,0.7,98.9
6.96215,0.7,97.0
5.29305,0.7,82.5
11.5779,0.7,97.0
,0.693,92.6
,0.693,94.7
8.71675,0.693,98.8
5.87205,0.693,96.0
7.67202,0.693,98.9
38.3518,0.693,100.0
9.91655,0.693,77.8
25.0461,0.693,100.0
14.2362,0.693,100.0
9.59571,0.693,100.0
24.8017,0.693,96.0
41.5292,0.693,85.4
67.9208,0.693,100.0
20.7162,0.659,100.0
11.9511,0.659,100.0
7.40389,0.597,97.9
,0.597,100.0
51.1358,0.597,100.0
14.0507,0.597,100.0
18.811,0.597,100.0
28.6558,0.597,100.0
45.7461,0.693,100.0
18.0846,0.679,100.0
10.8342,0.679,90.8
25.9406,0.679,89.1
73.5341,0.679,100.0
11.8123,0.718,76.5
11.0874,0.718,100.0
7.02259,0.718,95.3
12.0482,0.614,87.6
7.05042,0.614,
8.79212,0.584,70.6
15.8603,0.679,95.4
,0.584,59.7
37.6619,0.679,78.7
7.36711,0.679,78.1
9.33889,0.679,
,0.584,86.1
10.0623,0.584,94.3
6.44405,0.584,74.8
5.58107,0.713,87.9
13.9134,0.713,95.0
11.1604,0.74,94.6
14.4208,0.74,93.3
15.1772,0.74,100.0
13.6781,0.74,87.9
9.39063,0.74,93.9
22.0511,0.74,92.4
9.72418,0.74,97.2
5.66637,0.74,100.0
9.96654,0.74,100.0
12.8023,0.74,96.6
10.6718,0.74,94.8
6.28807,0.74,96.4
9.92485,0.74,96.6
9.32909,0.713,98.7
7.52601,0.713,98.3
6.71772,0.713,92.6
5.44114,0.713,
5.09017,0.713,91.8
8.24809,0.713,99.3
9.51363,0.713,94.1
4.75237,0.713,86.5
4.66883,0.713,87.9
8.20058,0.713,80.3
7.75223,0.713,83.7
6.80117,0.713,84.4
,0.713,90.0
3.69311,0.713,88.4
6.65492,0.713,83.0
5.82115,0.713,89.9
7.83932,0.655,65.4
,0.655,48.2
3.77498,0.655,84.7
4.42228,0.584,94.5
15.5757,0.58,71.0
13.0751,0.58,56.7
4.34879,0.58,84.0
4.03841,0.532,90.7
3.56868,0.58,75.0
4.64689,0.614,67.6
8.05579,0.584,95.4
6.39312,0.584,97.4
4.87141,0.614,93.6
15.0234,0.614,97.3
10.233,0.614,96.7
14.3337,0.614,88.0
5.82401,0.532,64.7
5.70818,0.532,74.9
5.73116,0.532,77.0
2.81838,0.532,40.3
2.37857,0.583,41.9
3.67367,0.583,51.9
5.69175,0.583,79.8
4.83567,0.583,53.2
0.15086,0.609,92.7
0.18337,0.609,98.3
0.20746,0.609,98.0
0.10574,0.609,98.8
0.11132,0.609,83.5
0.17331,0.585,54.0
0.27957,0.585,42.6
0.17899,0.585,28.8
0.2896,0.585,72.9
0.26838,0.585,70.6
0.23912,0.585,65.3
0.17783,0.585,73.5
0.22438,0.585,79.7
0.06263,0.573,69.1
0.04527,0.573,76.7
0.06076,0.573,91.0
0.10959,0.573,89.3
0.04741,0.573,
